马来,#genre#
AEC-1,http://50.7.220.74:8278/Aec/playlist.m3u8?tid=m02000000000015394736&ct=17957&tsum=1dcfc710d1e57d6048f64c2e0383ecd3
AEC-2,mitv://ns2.hellotvvod.com:9906/1db285f39ad540908c559d8ee521ba13.ts
AEC-3,mitv://ns2.hellotvvod.com:9906/c87f5b860c294779a349720673cdfa7f.ts
AEC-4,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20621
AEC-5(vpn),
AEC-6(vpn),
歡喜臺333-1,http://50.7.220.74:8278/Huahee/playlist.m3u8?tid=m02000000000018660079&ct=17957&tsum=5ce7429a79a9a892208c316c2a8133ee
歡喜臺333-2,https://hdl-ws.zego.wakavideos.com/wakavideos/da4826da06660cea2b7d5d8e4c00be63.flv
歡喜臺333-3,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20411
歡喜臺333-4,mitv://ns2.hellotvvod.com:9906/1846067d97ae45bd8530229b4b013539.ts
歡喜臺333-5,mitv://ns2.hellotvvod.com:9906/0b39963f111d46a68408d793bd794681.ts
StingrayMusic70,https://ott-linear-channels.stingray.com/v1/master/734895816ccb1e836f8c1e81f772244d9be0077c/115/master.m3u8#https://ott-linear-channels.stingray.com/v1/master/734895816ccb1e836f8c1e81f772244d9be0077c/101/master.m3u8#tvbus://6hceEo3SMnTG5m7CG2ZakyWbfgG1ZmtNukkaE8mSpCNrnmf3EVovACCdyEUN3
芒果TV,http://39.135.55.105:6610/PLTV/88888888/224/3221226887/index.m3u8?servicetype=1
全佳,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20408#https://hdl-ws.zego.wakavideos.com/wakavideos/3986bd386402c7c8687d7487882dc076.flv#mitv://ns2.hellotvvod.com:9906/65848cf4897c4a72bf99ba49b363b6cf.ts
爱奇艺,https://hdl-ws.zego.wakavideos.com/wakavideos/ac6ce13aa02f390d7be92fc78e49a535.flv
华丽,http://50.7.220.74:8278/Wlt/playlist.m3u8?tid=m02000000000017284058&ct=17957&tsum=72aaa7dbf2a5d6166b065612f3e6c602
华丽-2,mitv://ns2.hellotvvod.com:9906/327f3a32a1f14271a1ac756241626bf9.ts
双星,http://50.7.220.74:8278/Shuangxing/playlist.m3u8?tid=m02000000000010638087&ct=17957&tsum=16035284df542c2d54efaee5e47bc535#mitv://ns2.hellotvvod.com:9906/c87f5b860c294779a349720673cdfa7f.ts
双星-2,mitv://ns2.hellotvvod.com:9906/94481d4a836a48338fab40a11900fb33.ts
AOD,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/264512
