	Thailand,#genre#
1	ALTV,http://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8
2	ALTV4,https://thaipbs-ujxrch.cdn.byteark.com/live/playlist_1080p/index.m3u8
3	Amarin TV,https://freelive2.inwstream.com:1936/freelive-edge/amarinhd/chunks.m3u8
4	GMM ONE,https://freelive2.inwstream.com:1936/freelive-edge/onehd/playlist.m3u8
5	MCOT 30,https://freelive2.inwstream.com:1936/freelive-edge/mcothd/playlist.m3u8#https://freelive2.inwstream.com:1936/freelive-edge/mcothd/chunks.m3u8
6	NATION TV 22,https://freelive2.inwstream.com:1936/freelive-edge/nation/chunks.m3u8
7	NBT 2,https://freelive.inwstream.com:1936/freelive-edge/nbt/playlist.m3u8
8	News1,http://news1.live14.com/stream/news1_hi.m3u8
9	PBS 3 ,https://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8#http://thaipbs-live.cdn.byteark.com/live/playlist_720p/index.m3u8
10	PPTV,https://freelive2.inwstream.com:1936/freelive-edge/pptvhd/playlist.m3u8
11	Channel 3,http://freelive2.inwstream.com:1935/freelive-edge/3hd/playlist.m3u8?WithCaption
12	Channel 5,https://freelive2.inwstream.com:1936/freelive-edge/5hd/chunks.m3u8#https://freelive2.inwstream.com:1936/freelive-edge/5hd/chunks.m3u8#https://tc-live1.sanook.com/live/22302_ch5.m3u8#https://freelive2.inwstream.com:1936/freelive-edge/5hd/chunks.m3u8
13	Channel 7,http://freelive2.inwstream.com:1935/freelive-edge/7hd/playlist.m3u8?WithCaption#https://freelive.inwstream.com:1936/freelive-edge/7hd/playlist.m3u8#https://freelive2.inwstream.com:1936/freelive-edge/7hd/playlist.m3u8
14	Channel 8,http://freelive2.inwstream.com:1935/freelive-edge/ch8/playlist.m3u8
15	Thairath 32,http://live.thairath.co.th/trtv2/playlist_720p/index.m3u8#http://line.premiumpowers.net:80/Pittbull/pittbull/164748
16	THAI 33,https://freelive.inwstream.com:1936/freelive-edge/3hd/playlist.m3u8
17	TOP NEWS,https://live.topnews.co.th/hls/topnews.m3u8
18	True4u 24,https://freelive.inwstream.com:1936/freelive-edge/true4u/playlist.m3u8
19	WORK POINT 23,https://freelive2.inwstream.com:1936/freelive-edge/workpointtv/playlist.m3u8
